AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
TRP,20,0.0253,-177.7,-129.1,0.0,0.0,10.26,5.62,0.0,0.0
TRP,109,0.1378,-176.1,-95.6,0.0,0.0,9.55,12.93,0.0,0.0
TRP,267,0.3375,-69.6,93.4,0.0,0.0,8.26,15.57,0.0,0.0
TRP,18,0.0228,-66.6,127.1,0.0,0.0,10.0,5.27,0.0,0.0
TRP,102,0.129,-67.9,-42.8,0.0,0.0,7.58,32.47,0.0,0.0
TYR,173,0.0688,63.3,85.4,0.0,0.0,7.74,6.87,0.0,0.0
TYR,4,0.0016,78.0,127.1,0.0,0.0,17.16,21.97,0.0,0.0
TYR,82,0.0326,64.1,-81.6,0.0,0.0,8.11,7.15,0.0,0.0
TYR,754,0.2998,-179.8,75.0,0.0,0.0,7.2,9.43,0.0,0.0
TYR,13,0.0052,-174.3,-157.8,0.0,0.0,7.1,32.95,0.0,0.0
TYR,168,0.0668,-178.4,-85.2,0.0,0.0,7.51,8.37,0.0,0.0
TYR,429,0.1706,-67.4,83.9,0.0,0.0,8.48,10.63,0.0,0.0
TYR,43,0.0171,-66.1,143.2,0.0,0.0,10.15,16.1,0.0,0.0
TYR,849,0.3376,-65.9,-71.4,0.0,0.0,8.53,13.72,0.0,0.0
CYS,187,0.2264,64.8,0.0,0.0,0.0,7.67,0.0,0.0,0.0
CYS,218,0.2639,-176.9,0.0,0.0,0.0,7.15,0.0,0.0,0.0
CYS,421,0.5097,-65.8,0.0,0.0,0.0,8.37,0.0,0.0,0.0
SER,1650,0.4338,64.8,0.0,0.0,0.0,8.79,0.0,0.0,0.0
SER,1030,0.2708,178.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0
