AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
TRP,36,0.0455,58.1,86.5,0.0,0.0,8.28,8.8,0.0,0.0
TRP,1,0.0013,97.7,-130.9,0.0,0.0,0.0,0.0,0.0,0.0
TRP,76,0.0961,60.0,-91.4,0.0,0.0,8.08,7.39,0.0,0.0
TRP,150,0.1896,179.6,81.5,0.0,0.0,6.64,8.72,0.0,0.0
TRP,18,0.0228,179.2,-127.3,0.0,0.0,7.54,3.49,0.0,0.0
TRP,116,0.1466,-176.7,-94.9,0.0,0.0,9.81,13.68,0.0,0.0
TRP,276,0.3489,-69.3,93.8,0.0,0.0,7.91,15.32,0.0,0.0
TRP,25,0.0316,-64.2,128.4,0.0,0.0,9.15,8.22,0.0,0.0
TRP,93,0.1176,-66.4,-41.2,0.0,0.0,7.61,30.4,0.0,0.0
TYR,167,0.0664,63.3,84.6,0.0,0.0,7.55,7.65,0.0,0.0
TYR,5,0.002,55.2,169.7,0.0,0.0,11.82,33.63,0.0,0.0
